"","Combo","Record"
"825","maybe",469
"294","play",468
"2146","hand",466
"2780","top",462
"694","money",461
"329","saw",459
"69","job",458
"767","looked",456
"358","become",455
"84","books",453
"2899","movie",453
"302","seen",450
"744","change",450
"725","experience",449
"52","ill",446
"520","rather",445
"87","gave",444
"265","months",443
"119","writing",441
"909","full",441
"570","mother",440
"392","morning",437
"105","happy",436
"1820","young",436
"946","couple",435
"1489","body",435
"2208","case",435
"332","face",433
"387","given",433
"1953","couldnt",433
"998","means",432
"676","else",429
"40","white",426
"756","important",426
"1314","hours",426
"91","reading",424
"815","isnt",423
"776","care",420
"1490","feeling",420
"1214","stop",419
"1027","word",418
"1526","nice",417
"1182","game",415
"2352","thinking",414
"1687","blog",411
"2102","half",409
"2447","men",409
"890","weeks",408
"823","hope",406
"908","free",406
"1186","women",405
"493","reason",404
"101","several",403
"747","power",398
"2201","true",398
"627","child",397
"1671","car",393
"959","instead",392
"2283","fun",392
"470","state",391
"1541","says",391
"518","anyone",388
"779","baby",388
"276","taking",383
"2616","sense",382
"3017","moment",382
"958","girl",381
"1114","group",381
"1175","woman",381
"951","city",379
"1065","mom",379
"1391","eyes",379
"186","tried",377
"639","problem",377
"317","using",375
"675","himself",375
"1139","jesus",373
"178","open",372
"885","talk",372
"1964","mean",372
"402","goes",371
"325","coming",369
"1924","early",368
"699","needed",367
"1345","church",367
"625","ask",366
"1107","lost",366
"1380","th",365
"656","ones",364
"1384","light",363
"1469","eat",363
"192","usually",362
"1936","heard",362
"3833","living",360
"1361","beautiful",359
"75","began",358
"282","turned",357
"644","parents",357
"1169","black",356
"144","number",355
"1280","large",355
"262","clswearjar",354
"824","leave",352
"141","cut",350
"3316","wrong",350
"3410","month",350
"1420","either",349
"1507","lives",348
"572","soon",347
"2891","husband",345
"112","easy",342
"511","especially",342
"1476","order",342
"567","behind",341
"1086","matter",341
"336","understand",339
"324","yes",338
"1427","write",337
"5079","close",337
"2641","front",336
"571","short",335
"1728","walk",335
"2461","shes",335
"620","cannot",334
"1443","saying",334
"1486","post",333
"798","add",332
"1095","guy",332
"1822","although",332
"2448","taken",332
"2277","s",331
"1196","perhaps",330
"59","four",329
"2225","move",328
"2272","rest",326
"1547","became",325
"977","loved",324
"1825","line",324
"14","within",322
"658","theyre",320
"764","simply",320
"2481","stuff",320
"2759","outside",320
"349","country",319
"1549","inside",319
"2100","perfect",319
"277","turn",316
"364","seem",316
"2212","history",316
"2684","father",316
"2360","known",315
"2356","talking",314
"1067","spent",313
"1273","death",313
"1494","gets",313
"3825","running",313
"666","team",311
"748","question",309
"2187","longer",308
"56","business",306
"172","beer",306
"686","hear",305
"3016","wont",305
"1258","upon",302
"2135","american",299
"268","special",298
"642","completely",298
"1916","son",297
"2573","happened",296
"403","hit",295
"450","human",295
"390","bed",294
"3139","favorite",294
"591","characters",293
"1963","themselves",293
"201","john",292
"735","needs",292
"558","door",291
"915","ways",291
"522","wants",290
"996","wouldnt",290
"207","works",288
"2013","example",288
"2737","pain",288
"73","process",286
"618","takes",286
"1189","possible",286
"1685","wait",286
"354","stay",285
"1970","clear",285
"2562","fall",284
"721","five",283
"2302","public",282
"2559","playing",280
"127","season",279
"2897","character",279
"851","interesting",278
"853","huge",278
"2416","bring",278
"2308","learn",276
"7287","party",276
"1185","watch",275
"1224","area",274
"1913","age",274
"477","local",273
"2388","brought",273
"818","girls",272
"1429","road",272
"1521","hour",272
"2063","seemed",272
"844","paper",271
"1531","ready",271
"2546","boy",270
"347","worked",269
"1023","across",268
"1433","late",268
"2184","kept",268
"2227","pay",267
"3511","havent",267
"1102","relationship",266
"1522","trip",265
"85","enjoy",264
"93","stories",264
"2742","town",264
"613","above",263
"672","tells",263
"728","level",263
"1061","guess",263
"1262","share",263
"2158","looks",263
"3285","gone",262
"3936","war",262
"1515","whether",261
"792","create",259
"2165","summer",259
"3229","system",259
"2109","buy",258
"2047","deal",256
"3030","alone",256
"814","hold",255
"2766","difficult",255
"1483","quickly",254
"2776","entire",254
"541","red",253
"1076","plan",253
"1983","oh",253
"2086","wonderful",253
"3146","art",253
"3405","dark",253
"742","government",252
"1073","happen",252
"3416","piece",252
"1667","card",251
"3158","certain",251
"2374","picture",249
"2470","store",249
"1740","strong",248
"1758","hands",248
"2488","hair",248
"2995","act",248
"3662","truly",248
"4350","meet",248
"603","itself",247
"887","dinner",247
"1712","social",247
"1966","anyway",247
"2300","form",247
"4397","amazing",247
"3832","future",246
"710","company",244
"28","whatever",243
"31","yourself",243
"2690","etc",243
"500","walked",242
"1492","control",242
"1300","list",241
"1932","learned",241
"3470","watching",241
"805","phone",240
"1325","written",240
"3488","moved",240
"783","sound",239
"972","song",239
"1749","further",239
"1444","single",238
"1411","including",237
"2128","series",237
"5974","students",237
"990","games",235
"1029","added",234
"1760","visit",234
"2615","met",234
"1518","check",233
"2452","wife",233
"3207","nature",233
"1097","waiting",232
"1145","lord",231
"1871","simple",231
"2498","personal",231
"506","information",230
"1471","college",230
"1752","swearjar",230
"2929","definitely",230
"5158","played",230
"785","sleep",229
"3560","certainly",229
"1802","sweet",227
"1240","seeing",226
"1628","knows",226
"341","giving",225
"723","worth",224
"2774","news",224
"3034","table",224
"388","support",223
"225","cold",222
"1025","middle",222
"2266","view",222
"3542","issues",222
"6567","hot",222
"3160","particular",221
"1755","exactly",220
"2287","christ",219
"2433","forward",218
"2888","weekend",218
"3839","states",217
"183","recently",216
"688","office",216
"3508","sort",216
"4580","continue",216
"1409","brother",215
"1763","energy",215
"233","south",214
"1118","band",214
"1278","due",214
"3943","bought",214
"2059","based",213
"3009","wrote",213
"1052","answer",212
"2198","shows",212
"78","moving",211
"1602","type",211
"1882","issue",211
"3261","daughter",211
"3564","amount",211
"4026","project",211
"557","dad",210
"949","pick",210
"1035","gods",210
"1505","eventually",210
"2276","fight",210
"716","fine",208
"1576","earth",208
"2229","law",208
"2278","scene",208
"2469","sister",208
"5741","held",208
"1000","situation",207
"1390","air",207
"2881","park",207
"645","present",206
"746","lets",206
"927","eating",206
"544","cool",205
"660","wonder",205
"819","pictures",205
"1008","break",205
"1439","gives",205
"1935","voice",205
"2401","beginning",205
"7693","stand",205
"316","third",204
"1119","dead",204
"2024","market",203
"2889","doctor",203
"230","near",202
"1054","questions",202
"1843","thank",202
"2097","lots",202
"2607","imagine",202
"4953","places",202
"227","drive",201
"939","walking",201
"1863","attention",201
"2733","health",201
"1063","arent",200
"1355","sitting",200
"2947","born",200
"944","weve",198
"3774","truth",198
"373","space",197
"1077","available",197
"3816","telling",197
"238","feet",196
"1150","finish",196
"5185","guys",196
"386","expect",195
"932","weight",195
"1172","similar",195
"1436","sit",195
"1593","deep",195
"2316","building",195
"2890","ended",195
"5401","main",195
"398","starting",194
"1079","fear",194
"1081","online",194
"3233","wish",194
"340","floor",193
"1116","boys",193
"1982","major",193
"164","community",192
"2072","sat",192
"5580","street",192
"32","challenge",191
"384","choose",191
"933","cover",191
"987","chance",191
"1845","realized",191
"6061","step",191
"593","following",190
"2144","spirit",190
"2429","towards",190
"4328","therefore",190
"1431","beyond",189
"2582","final",189
"377","choice",188
"2449","mr",188
"2768","changed",188
"4792","created",188
"7438","size",188
"438","sent",187
"3011","six",187
"4341","supposed",187
"452","offer",186
"539","involved",186
"2281","action",186
"3085","throughout",186
"3173","among",186
"549","rock",185
"1137","yesterday",185
"1382","figure",185
"372","society",184
"527","plus",184
"717","hell",184
"1995","taste",184
"1208","crazy",183
"1282","funny",183
"2365","fast",183
"2459","return",183
"2523","green",183
"4289","album",183
"1068","style",182
"1199","faith",182
"3463","kid",182
"1162","race",181
"1357","immediately",181
"424","dog",180
"1711","reality",180
"1721","christmas",180
"2092","interest",180
"2920","growing",180
"25","result",179
"46","finished",179
"58","feels",179
"135","novel",179
"840","learning",179
"847","blue",179
"2462","spend",179
"4037","center",179
"1074","realize",178
"1091","excited",178
"1933","poor",178
"2439","position",178
"4110","pswearjared",178
"185","super",177
"2253","mostly",177
"2490","normal",177
"3922","various",177
"4106","consider",177
"5574","enjoyed",177
"602","ground",176
"891","common",176
"1274","miss",176
"1584","nearly",176
"4773","complete",176
"479","per",175
"548","please",175
"1024","fit",175
"1129","hospital",175
"3381","married",175
"1144","lived",174
"2496","gift",174
"3926","tv",174
"903","members",173
"1078","cause",173
"3623","note",173
"213","lunch",172
"419","sad",172
"999","service",172
"1904","asking",172
"4776","lead",172
"5761","color",172
"1660","despite",171
"751","ideas",170
"2450","happens",170
"2552","focus",170
"2885","die",170
"3312","except",170
"3526","ok",170
"4201","north",170
"5285","million",170
"6472","minute",170
"7496","blood",170
"892","conversation",169
"2288","stopped",169
"8606","heat",169
"2205","general",168
"2455","talked",168
"2475","totally",168
"4376","youll",168
"62","mine",167
"418","problems",167
"637","grow",167
"1171","likely",167
"1504","daily",167
"1884","turns",167
"2732","decision",167
"2970","begin",167
"698","helped",166
"1481","drink",166
"4004","hate",166
"243","points",165
"573","watched",165
"2851","whats",165
"2855","original",165
"416","filled",164
"1470","liked",164
"1810","follow",164
"3676","clearly",164
"4649","national",164
"1724","pm",163
"2280","york",163
"313","language",162
"414","thoughts",162
"1776","fire",162
"2555","thus",162
"4084","test",162
"690","stage",161
"865","political",161
"259","sunday",160
"784","ten",160
"843","loves",160
"1298","win",160
"1350","event",160
"2420","career",160
"2446","friday",160
"2716","meeting",160
"2966","lack",160
"3743","older",160
"3794","america",160
"4067","films",160
"997","expected",159
"1012","meant",159
"1055","speak",159
"2348","image",159
"2487","dress",159
"936","miles",158
"3098","goal",158
"3842","difference",158
"772","pswearjar",157
"1725","lose",157
"4103","version",157
"4633","onto",157
"556","sounds",156
"912","price",156
"2054","dream",156
"2207","record",156
"2437","wall",156
"2708","english",156
"3127","ability",156
"3216","media",156
"3290","according",156
"334","ran",155
"731","st",155
"1689","absolutely",155
"2371","hurt",155
"3240","worse",155
"3518","box",155
"1567","healthy",154
"2014","oil",154
"2186","herself",154
"2294","ourselves",154
"2794","tree",154
"6146","eye",154
"566","arrived",153
"737","fresh",153
"1312","allowed",153
"3109","nor",153
"109","quality",152
"153","warm",152
"427","clean",152
"2226","extra",152
"5101","allow",152
"1017","bottom",151
"1226","straight",151
"2688","chicken",151
"3368","movies",151
"828","spring",150
"2509","natural",150
"2975","role",150
"3834","practice",150
"4389","died",150
"149","songs",149
"280","caught",149
"1662","leaving",149
"2988","recent",149
"107","picked",148
"307","easily",148
"1069","wear",148
"2292","won",148
"3476","save",148
"3485","culture",148
"7042","page",148
"1372","bar",147
"1986","youve",147
"2052","somehow",147
"7082","awesome",147
"171","unfortunately",146
"994","knowing",146
"1425","moments",146
"1814","evening",146
"2197","self",146
"4238","forget",146
"4358","chocolate",146
"5279","photo",146
"6877","indeed",146
"8730","land",146
"184","restaurant",145
"1608","serious",145
"1609","sign",145
"3969","low",145
"902","fan",144
"2311","provide",144
"2435","apparently",144
"2517","shot",144
"2541","research",144
"2626","study",144
"3183","regular",144
"3472","effect",144
"4425","leaves",144
"4588","field",144
"5742","closer",144
"5976","whom",144
"7350","hadnt",144
"428","kitchen",143
"464","biggest",143
"768","managed",143
"2123","sun",143
"2293","christian",143
"2586","ahead",143
"2611","fell",143
"3540","desire",143
"4663","training",143
"90","opportunity",142
"837","headed",142
"957","earlier",142
"1131","anymore",142
"1290","mentioned",142
"1575","becomes",142
"1618","followed",142
"3598","events",142
"4271","dry",142
"5877","site",142
"248","force",141
"1207","success",141
"2618","purpose",141
"3610","hotel",141
"5598","message",141
"33","changes",140
"599","suddenly",140
"1071","clothes",140
"1221","skin",140
"1730","joy",140
"2284","physical",140
"3148","pieces",140
"6888","reach",140
"6950","popular",140
"7933","noticed",140
"1075","birth",139
"1736","former",139
"2069","below",139
"2386","program",139
"3035","design",139
"3059","total",139
"4031","individual",139
"4253","brown",139
"4800","bus",139
"5299","quick",139
"191","trust",138
"256","busy",138
"2233","okay",138
"2256","performance",138
"2309","subject",138
"2346","obviously",138
"2553","sex",138
"2915","showed",138
"3778","brain",138
"6596","value",138
"876","police",137
"1276","parts",137
"1713","terms",137
"2903","opened",137
"1359","teacher",136
"3080","none",136
"4368","saturday",136
"6669","notice",136
"345","paid",135
"1007","results",135
"1279","fair",135
"1347","received",135
"2443","pulled",135
"2451","mention",135
"2620","bible",135
"2822","interested",135
"3170","sick",135
"289","birthday",134
"1261","peace",134
"5005","recipe",134
"615","slowly",133
"659","video",133
"1756","french",133
"1842","ride",133
"3061","wine",133
"439","smile",132
"3092","reasons",132
"4241","afternoon",132
"4764","author",132
"5340","higher",132
"646","necessary",131
"817","whose",131
"878","west",131
"930","key",131
"1363","listen",131
"2852","basically",131
"505","finding",130
"1624","starts",130
"1639","coffee",130
"2121","king",130
"2876","surprised",130
"4279","modern",130
"5711","slightly",130
"1092","round",129
"1638","weather",129
"2477","obvious",129
"2578","seriously",129
"2714","groups",129
"2817","putting",129
"3625","mark",129
"400","admit",128
"956","window",128
"1951","readers",128
"2325","standing",128
"2400","date",128
"3828","becoming",128
"3863","include",128
"4216","shop",128
"724","currently",127
"3132","cost",127
"3815","term",127
"4475","internet",127
"5457","named",127
"2080","neither",126
"2827","continued",126
"4209","train",126
"4673","period",126
"4984","areas",126
"5573","journey",126
"6464","speaking",126
"7274","computer",126
"1458","apart",125
"2011","current",125
"2203","article",125
"4999","gotten",125
"151","swearjarle",124
"179","pull",124
"338","dance",124
"773","shall",124
"1194","feelings",124
"2045","board",124
"3644","wearing",124
"4471","opening",124
"6425","considered",124
"706","honest",123
"1100","holding",123
"1238","particularly",123
"1392","path",123
"1430","strange",123
"1495","numbers",123
"1798","lovely",123
"1955","bill",123
"2430","carry",123
"2909","d",123
"2950","photos",123
"2986","court",123
"4318","literally",123
"4340","march",123
"6363","trouble",123
"811","section",122
"1070","bag",122
"1418","decide",122
"1595","evil",122
"1766","track",122
"5245","keeping",122
"5798","marriage",122
"1239","player",121
"1410","built",121
"1587","direction",121
"1622","plenty",121
"1844","extremely",121
"2321","knowledge",121
"3015","arms",121
"3519","memory",121
"3620","easier",121
"4399","teach",121
"4442","approach",121
"5113","unless",121
"5970","kill",121
"6141","players",121
"29","winter",120
"850","forever",120
"859","dr",120
"1428","positive",120
"1603","worst",120
"1675","loss",120
"2220","meaning",120
"2231","worry",120
"2521","bottle",120
"3855","heavy",120
"5967","proud",120
"6644","beauty",120
"327","mile",119
"2666","fully",119
"3027","opinion",119
"4311","ball",119
"5949","gold",119
"6149","touch",119
"898","club",118
"2709","glswearjar",118
"2796","student",118
"2911","glad",118
"3362","actual",118
"3814","mouth",118
"4522","sugar",118
"5272","generally",118
"355","travel",117
"799","calls",117
"1442","rich",117
"1681","spot",117
"2021","president",117
"7458","teaching",117
"1343","soul",116
"2116","addition",116
"2805","pair",116
"2981","previous",116
"3025","doubt",116
"3376","lady",116
"4343","tired",116
"5135","education",116
"5785","fans",116
"6413","basic",116
"468","shopping",115
"1157","somewhere",115
"1365","successful",115
"3811","willing",115
"1141","stood",114
"1173","stuck",114
"1780","movement",114
"4185","released",114
"4631","trees",114
"5242","attempt",114
"205","tiny",113
"628","families",113
"1031","pink",113
"1268","led",113
"1805","notes",113
"3409","lines",113
"3490","london",113
"3890","cute",113
"4105","shared",113
"65","weird",112
"330","cake",112
"1051","prepared",112
"1249","safe",112
"2104","runs",112
"2627","university",112
"2982","stayed",112
"3239","tears",112
"4153","base",112
"126","plot",111
"436","listening",111
"1968","push",111
"2502","wedding",111
"2663","killed",111
"2767","pressure",111
"2773","brings",111
"3713","station",111
"4149","discovered",111
"4395","toward",111
"7420","plays",111
"1223","afraid",110
"1525","wind",110
"1545","tomorrow",110
"1677","serve",110
"1757","bread",110
"2491","shoes",110
"3147","fashion",110
"3187","hearing",110
"3656","flowers",110
"4563","actions",110
"7692","strength",110
"8715","products",110
"285","corner",109
"1320","thanks",109
"1540","doctors",109
"2598","broken",109
"2724","email",109
"2933","build",109
"6156","rules",109
"619","wide",108
"775","babies",108
"966","female",108
"1122","search",108
"1405","grace",108
"1759","twice",108
"2169","east",108
"2476","comments",108
"2857","jobs",108
"2991","names",108
"2993","secret",108
"3224","werent",108
"3627","published",108
"6175","beach",108
"83","april",107
"251","shape",107
"722","sell",107
"979","product",107
"1046","understanding",107
"1260","countries",107
"1598","avoid",107
"2009","wed",107
"2057","offered",107
"2076","throw",107
"2603","legs",107
"2872","traditional",107
"2924","taught",107
"3391","chose",107
"3641","james",107
"7197","potential",107
"622","explain",106
"763","possibly",106
"1018","creative",106
"1354","calling",106
"2174","x",106
"2350","likes",106
"2910","drinking",106
"3328","covered",106
"3812","constantly",106
"3917","details",106
"4552","showing",106
"4584","mothers",106
"3","contact",105
"420","slow",105
"443","cup",105
"1994","items",105
"2243","production",105
"2383","fairly",105
"2989","rights",105
"3574","respect",105
"6953","excellent",105
"9690","garden",105
"895","ice",104
"2149","animals",104
"2175","catch",104
"2289","raised",104
"4065","begins",104
"5244","lower",104
"5609","release",104
"9290","fish",104
"10710","unique",104
"893","cream",103
"943","star",103
"1619","fruit",103
"2333","holy",103
"3171","sold",103
"3265","paul",103
"4449","review",103
"5001","cook",103
"5161","audience",103
"5587","brothers",103
"6441","website",103
"125","loving",102
"173","cooking",102
"601","camera",102
"1013","cancer",102
"1039","rule",102
"1217","foot",102
"1617","flavor",102
"2171","material",102
"2335","private",102
"2497","perfectly",102
"2927","plans",102
"3203","science",102
"6598","developed",102
"281","skills",101
"533","included",101
"609","aware",101
"1474","meal",101
"2668","driving",101
"3215","industry",101
"3237","tend",101
"3539","concerned",101
"3592","double",101
"3736","chair",101
"3841","united",101
"4157","tough",101
"4681","fat",101
"4945","lucky",101
"5170","content",101
"5575","sorry",101
"6319","crying",101
